"EVENT","LEVEL","PLAYTIME_AVG","HINT_USED_SUM","RETRY_COUNT_SUM","SKIPPED_SUM","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_completed","85","12.751231527093598","0","57097","6","38164","0.0033","38151","1","0.1451","263000"
"level_completed","86","7.153334757302289","91","66203","27","37454","0.0032","37445","1","0.1424","263000"
"level_completed","87","6.959230790124128","17","40602","6","36817","0.0032","36813","1","0.14","263000"
"level_completed","88","8.77873745014441","46","50933","25","36355","0.0032","36351","1","0.1382","263000"
"level_completed","89","6.037220154435865","21","42809","9","36002","0.0031","35998","1","0.1369","263000"
"level_completed","90","8.860045083906156","34","36357","7","35933","0.0031","35929","1","0.1366","263000"
"level_completed","91","13.931209432839209","0","42968","11","35281","0.0031","35276","1","0.1341","263000"
"level_completed","92","12.991072199982714","0","38998","7","34723","0.003","34718","1","0.132","263000"
"level_completed","93","17.74031576476112","0","37971","10","34076","0.003","34071","1","0.1295","263000"
"level_completed","94","10.710614657912721","0","40712","6","33661","0.0029","33648","1","0.12789999999999999","263000"
"level_completed","95","10.356213304279404","39","33974","13","33042","0.0029","33034","1","0.12560000000000002","263000"
"level_completed","96","15.837049848662675","119","33200","27","32378","0.0028000000000000004","32374","1","0.1231","263000"
"level_completed","97","6.860461456136484","25","40528","2","31769","0.0028000000000000004","31765","1","0.1208","263000"
"level_completed","98","10.840498778437027","12","32156","7","31517","0.0027","31511","1","0.1198","263000"
"level_completed","99","9.415711686404702","6","31889","4","31327","0.0027","31319","1","0.1191","263000"
"level_completed","100","15.36174554070954","0","51069","12","30386","0.0026","30377","1","0.1155","263000"
"level_completed","101","13.204491765097321","0","36514","6","30055","0.0026","30050","1","0.1143","263000"
"level_completed","102","14.247980531990404","0","30298","34","29587","0.0026","29585","1","0.1125","263000"
"level_completed","103","11.129410966340938","0","33128","5","29472","0.0026","29467","1","0.11199999999999999","263000"
"level_completed","104","12.71523178807947","0","37449","1","28841","0.0025","28834","1","0.1096","263000"
"level_completed","105","7.532547501759325","24","32191","10","28420","0.0025","28416","1","0.10800000000000001","263000"
"level_completed","106","9.665261352674262","95","28708","29","27989","0.0024","27986","1","0.10640000000000001","263000"
"level_completed","107","11.976093901432217","18","28245","3","27859","0.0024","27857","1","0.1059","263000"
"level_completed","108","10.668868403861506","25","27982","7","27554","0.0024","27546","1","0.1047","263000"
"level_completed","109","8.039509685892522","49","27784","12","27411","0.0024","27408","1","0.1042","263000"
