"EVENT","LEVEL","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_started","133","20346","0.0018","20343","1","0.07730000000000001","263000"
"level_started","135","20215","0.0018","20213","1","0.07690000000000001","263000"
"level_started","134","20104","0.0018","20103","1","0.0764","263000"
"level_started","136","19409","0.0017000000000000001","19404","1","0.0738","263000"
"level_started","140","19400","0.0017000000000000001","19395","1","0.0737","263000"
"level_started","137","19194","0.0017000000000000001","19191","1","0.073","263000"
"level_started","139","19147","0.0017000000000000001","19146","1","0.0728","263000"
"level_started","138","19078","0.0017000000000000001","19074","1","0.0725","263000"
"level_started","141","18654","0.0017000000000000001","18651","1","0.0709","263000"
"level_started","142","18257","0.0016","18256","1","0.0694","263000"
"level_started","144","18212","0.0016","18208","1","0.0692","263000"
"level_started","143","18047","0.0016","18044","1","0.06860000000000001","263000"
"level_started","145","17456","0.0015","17454","1","0.0664","263000"
"level_started","146","17130","0.0015","17126","1","0.06509999999999999","263000"
"level_started","149","16764","0.0015","16761","1","0.0637","263000"
"level_started","147","16663","0.0015","16662","1","0.0634","263000"
"level_started","148","16491","0.0015","16490","1","0.06269999999999999","263000"
"level_started","150","15957","0.0014000000000000002","15954","1","0.060700000000000004","263000"
"level_started","151","15924","0.0014000000000000002","15921","1","0.0605","263000"
"level_started","152","15895","0.0014000000000000002","15894","1","0.0604","263000"
"level_started","157","15312","0.0014000000000000002","15311","1","0.0582","263000"
"level_started","153","15288","0.0014000000000000002","15283","1","0.0581","263000"
"level_started","154","15140","0.0013","15140","1","0.0576","263000"
"level_started","155","15096","0.0013","15093","1","0.0574","263000"
"level_started","156","15029","0.0013","15027","1","0.0571","263000"
"level_started","158","14815","0.0013","14814","1","0.056299999999999996","263000"
"level_started","159","14696","0.0013","14695","1","0.0559","263000"
"level_started","160","14541","0.0013","14540","1","0.0553","263000"
"level_started","161","14539","0.0013","14537","1","0.0553","263000"
"level_started","162","13973","0.0012","13972","1","0.053099999999999994","263000"
"level_started","166","13889","0.0012","13885","1","0.0528","263000"
"level_started","163","13822","0.0012","13818","1","0.0525","263000"
"level_started","164","13798","0.0012","13796","1","0.0525","263000"
"level_started","165","13690","0.0012","13687","1","0.052000000000000005","263000"
"level_started","167","13435","0.0012","13433","1","0.051100000000000007","263000"
"level_started","168","13247","0.0012","13245","1","0.0504","263000"
"level_started","169","13137","0.0012","13136","1","0.0499","263000"
"level_started","171","13037","0.0012","13035","1","0.0496","263000"
"level_started","170","12880","0.0011","12877","1","0.049","263000"
"level_started","176","12511","0.0011","12509","1","0.047599999999999996","263000"
"level_started","172","12474","0.0011","12472","1","0.047400000000000005","263000"
"level_started","174","12376","0.0011","12375","1","0.0471","263000"
"level_started","173","12368","0.0011","12367","1","0.047","263000"
"level_started","175","12327","0.0011","12323","1","0.046900000000000004","263000"
"level_started","177","12116","0.0011","12115","1","0.0461","263000"
"level_started","178","12018","0.0011","12015","1","0.045700000000000005","263000"
"level_started","179","12010","0.0011","12005","1","0.045599999999999995","263000"
"level_started","180","11859","0.0011","11859","1","0.0451","263000"
"level_started","181","11859","0.0011","11856","1","0.0451","263000"
"level_started","1","11841","0.001","11839","1","0.045","263000"
"level_started","186","11439","0.001","11435","1","0.0435","263000"
"level_started","182","11397","0.001","11395","1","0.0433","263000"
"level_started","183","11273","0.001","11268","1","0.042800000000000005","263000"
"level_started","185","11231","0.001","11230","1","0.042699999999999995","263000"
"level_started","184","11187","0.001","11186","1","0.0425","263000"
"level_started","190","11021","0.001","11017","1","0.04190000000000001","263000"
"level_started","187","10951","0.001","10951","1","0.0416","263000"
"level_started","189","10923","0.001","10923","1","0.0415","263000"
"level_started","188","10891","0.001","10888","1","0.0414","263000"
"level_started","191","10501","0.0009","10501","1","0.039900000000000005","263000"
"level_started","192","10467","0.0009","10465","1","0.0398","263000"
"level_started","195","10334","0.0009","10334","1","0.0393","263000"
"level_started","193","10122","0.0009","10122","1","0.0385","263000"
"level_started","194","10112","0.0009","10112","1","0.0384","263000"
"level_started","196","9957","0.0009","9957","1","0.0379","263000"
"level_started","198","9921","0.0009","9920","1","0.0377","263000"
"level_started","197","9894","0.0009","9893","1","0.037599999999999995","263000"
"level_started","200","9823","0.0009","9822","1","0.0373","263000"
"level_started","199","9799","0.0009","9797","1","0.0373","263000"
"level_started","201","9558","0.0008","9558","1","0.0363","263000"
"level_started","205","9473","0.0008","9472","1","0.036000000000000004","263000"
"level_started","203","9381","0.0008","9378","1","0.035699999999999996","263000"
"level_started","202","9374","0.0008","9374","1","0.0356","263000"
"level_started","204","9310","0.0008","9309","1","0.0354","263000"
"level_started","208","9084","0.0008","9081","1","0.0345","263000"
"level_started","206","9027","0.0008","9026","1","0.034300000000000004","263000"
"level_started","207","9003","0.0008","9003","1","0.0342","263000"
"level_started","210","8902","0.0008","8902","1","0.0338","263000"
"level_started","213","8693","0.0008","8692","1","0.033","263000"
"level_started","209","8644","0.0008","8644","1","0.0329","263000"
"level_started","212","8565","0.0008","8565","1","0.0326","263000"
"level_started","211","8550","0.0008","8550","1","0.0325","263000"
"level_started","215","8299","0.0007000000000000001","8299","1","0.0316","263000"
"level_started","214","8286","0.0007000000000000001","8286","1","0.0315","263000"
"level_started","216","8253","0.0007000000000000001","8253","1","0.031400000000000004","263000"
"level_started","217","8215","0.0007000000000000001","8215","1","0.031200000000000002","263000"
"level_started","222","7997","0.0007000000000000001","7997","1","0.0304","263000"
"level_started","218","7897","0.0007000000000000001","7897","1","0.03","263000"
"level_started","219","7839","0.0007000000000000001","7839","1","0.0298","263000"
"level_started","220","7775","0.0007000000000000001","7775","1","0.0296","263000"
"level_started","221","7748","0.0007000000000000001","7748","1","0.029500000000000002","263000"
"level_started","223","7682","0.0007000000000000001","7682","1","0.0292","263000"
"level_started","224","7600","0.0007000000000000001","7600","1","0.028900000000000002","263000"
"level_started","225","7524","0.0007000000000000001","7522","1","0.0286","263000"
"level_started","228","7464","0.0007000000000000001","7464","1","0.028399999999999998","263000"
"level_started","226","7390","0.0007000000000000001","7390","1","0.0281","263000"
"level_started","227","7383","0.0007000000000000001","7382","1","0.0281","263000"
"level_started","233","7191","0.0006","7191","1","0.0273","263000"
"level_started","229","7127","0.0006","7127","1","0.0271","263000"
"level_started","232","7090","0.0006","7090","1","0.027000000000000003","263000"
"level_started","230","7042","0.0006","7041","1","0.0268","263000"
"level_started","231","7031","0.0006","7031","1","0.026699999999999998","263000"
"level_started","238","6994","0.0006","6994","1","0.026600000000000002","263000"
"level_started","235","6938","0.0006","6938","1","0.0264","263000"
"level_started","234","6936","0.0006","6936","1","0.0264","263000"
"level_started","236","6897","0.0006","6897","1","0.0262","263000"
