"EVENT","LEVEL","COUNT","EVENT AMOUNT","AMOUNT %","USERS","EVENTS PER USER"
"A - level_started","206","7249","7249","0.0009","7248","1"
"A - level_started","309","2930","2930","0.0003","2930","1"
"A - level_started","745","315","315","0","315","1"
"A - level_started","103","21983","21983","0.0026","21983","1"
"A - level_started","1","5170","5170","0.0006","5169","1"
"A - level_started","706","390","390","0","390","1"
"A - level_started","30","77439","77439","0.0092","77429","1"
"A - level_started","22","94940","94940","0.011200000000000002","94935","1"
"A - level_started","72","33974","33974","0.004","33970","1"
"A - level_started","34","70081","70081","0.0083","70079","1"
"A - level_started","57","43466","43466","0.0051","43463","1"
"A - level_started","155","12006","12006","0.0014000000000000002","12005","1"
"A - level_started","65","38536","38536","0.0046","38531","1"
"A - level_started","36","68000","68000","0.008100000000000001","67995","1"
"A - level_started","132","16004","16004","0.0019","16000","1"
"A - level_started","249","4892","4892","0.0006","4892","1"
"A - level_started","169","10499","10499","0.0012","10498","1"
"A - level_started","331","2534","2534","0.0003","2533","1"
"A - level_started","122","17553","17553","0.0021","17552","1"
"A - level_started","543","709","709","0.0001","709","1"
"A - level_started","272","4055","4055","0.0005","4055","1"
"A - level_started","211","6889","6889","0.0008","6889","1"
"A - level_started","326","2635","2635","0.0003","2635","1"
"A - level_started","486","938","938","0.0001","938","1"
"A - level_started","378","1973","1973","0.0002","1972","1"
"A - level_started","255","4625","4625","0.0005","4625","1"
"A - level_started","285","3690","3690","0.0004","3687","1"
"A - level_started","472","1074","1074","0.0001","1072","1"
"A - level_started","760","263","263","0","263","1"
"A - level_started","248","4910","4910","0.0006","4910","1"
"A - level_started","564","681","681","0.0001","681","1"
"A - level_started","525","790","790","0.0001","790","1"
"A - level_started","362","2122","2122","0.0003","2122","1"
"A - level_started","558","684","684","0.0001","684","1"
"A - level_started","664","425","425","0.0001","425","1"
"A - level_started","718","366","366","0","366","1"
"A - level_started","501","866","866","0.0001","866","1"
"A - level_started","720","370","370","0","369","1"
"A - level_started","365","2080","2080","0.0002","2079","1"
"A - level_started","428","1339","1339","0.0002","1337","1"
"A - level_started","403","1565","1565","0.0002","1565","1"
"A - level_started","488","931","931","0.0001","931","1"
"A - level_started","606","523","523","0.0001","523","1"
"A - level_started","666","414","414","0","414","1"
"A - level_started","529","785","785","0.0001","785","1"
"A - level_started","758","290","290","0","289","1"
"A - level_started","710","387","387","0","387","1"
"A - level_started","653","437","437","0.0001","437","1"
"A - level_started","101","22031","22031","0.0026","22031","1"
"A - level_started","4","129551","129551","0.015300000000000001","129544","1"
"A - level_started","727","350","350","0","350","1"
"A - level_started","151","12660","12660","0.0015","12658","1"
"A - level_started","623","492","492","0.0001","492","1"
"A - level_started","308","2955","2955","0.0003","2954","1"
"A - level_started","7","125327","125327","0.0148","125322","1"
"A - level_started","28","82273","82273","0.0097","82260","1"
"A - level_started","507","892","892","0.0001","892","1"
"A - level_started","737","310","310","0","310","1"
"A - level_started","493","916","916","0.0001","916","1"
"A - level_started","733","331","331","0","331","1"
